Run,Age_months,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype/variation,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,mouse_model,Organism,Platform,ReleaseDate,sample_ID,Sample Name,source_name,SRA Study,tissue
SRR8512363,12,RNA-Seq,250,3150685750,PRJNA518104,SAMN10852679,1403395003,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316004,Wild Type,GSM3586105,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,A23,GSM3586105,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512364,12,RNA-Seq,250,2069833500,PRJNA518104,SAMN10852679,1454560235,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316004,Wild Type,GSM3586105,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,A23,GSM3586105,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512365,12,RNA-Seq,250,2944137750,PRJNA518104,SAMN10852678,1355989153,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316005,J20,GSM3586106,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,A24,GSM3586106,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512366,12,RNA-Seq,250,2078461250,PRJNA518104,SAMN10852678,1476927230,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316005,J20,GSM3586106,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,A24,GSM3586106,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512367,8,RNA-Seq,250,1747232500,PRJNA518104,SAMN10852677,1229637998,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316006,Wild Type,GSM3586107,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,B17,GSM3586107,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512368,8,RNA-Seq,250,2342952250,PRJNA518104,SAMN10852677,1053204703,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316006,Wild Type,GSM3586107,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,B17,GSM3586107,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512369,8,RNA-Seq,250,2818466750,PRJNA518104,SAMN10852728,1279391849,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316007,J20,GSM3586108,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,B18,GSM3586108,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512370,8,RNA-Seq,250,1787713750,PRJNA518104,SAMN10852728,1261848595,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316007,J20,GSM3586108,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,B18,GSM3586108,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512371,12,RNA-Seq,250,3758386500,PRJNA518104,SAMN10852727,1680368762,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316008,Wild Type,GSM3586109,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,B21,GSM3586109,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512372,12,RNA-Seq,250,2724880750,PRJNA518104,SAMN10852727,1906769417,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316008,Wild Type,GSM3586109,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,B21,GSM3586109,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512373,12,RNA-Seq,250,3058259250,PRJNA518104,SAMN10852726,1355191061,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316009,J20,GSM3586110,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,B22,GSM3586110,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512374,12,RNA-Seq,250,1895764000,PRJNA518104,SAMN10852726,1328349840,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316009,J20,GSM3586110,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,B22,GSM3586110,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512375,6,RNA-Seq,250,5998473250,PRJNA518104,SAMN10852725,2665494184,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316010,Wild Type,GSM3586111,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,B23,GSM3586111,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512376,6,RNA-Seq,250,6117574000,PRJNA518104,SAMN10852676,2710350325,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316011,J20,GSM3586112,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,B24,GSM3586112,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512377,10,RNA-Seq,250,5556611500,PRJNA518104,SAMN10852729,2546824328,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316012,Wild Type,GSM3586113,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,C17,GSM3586113,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512378,10,RNA-Seq,250,5456591000,PRJNA518104,SAMN10852724,2432536611,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316013,J20,GSM3586114,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,C18,GSM3586114,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512379,12,RNA-Seq,250,5583759750,PRJNA518104,SAMN10852723,2816515237,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316014,Wild Type,GSM3586115,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,C19,GSM3586115,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512380,12,RNA-Seq,250,5615684250,PRJNA518104,SAMN10852722,2520149735,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316015,J20,GSM3586116,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,C20,GSM3586116,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512381,6,RNA-Seq,250,5637539250,PRJNA518104,SAMN10852721,2515221850,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316016,Wild Type,GSM3586117,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,C21,GSM3586117,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512382,6,RNA-Seq,250,5760115000,PRJNA518104,SAMN10852720,2569969344,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316017,J20,GSM3586118,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,C22,GSM3586118,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512383,8,RNA-Seq,250,5347029250,PRJNA518104,SAMN10852719,2376723255,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316018,Wild Type,GSM3586119,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,C23,GSM3586119,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512384,12,RNA-Seq,250,6861454750,PRJNA518104,SAMN10852718,3021652955,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316019,Wild Type,GSM3586120,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,D17,GSM3586120,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512385,12,RNA-Seq,250,5914747750,PRJNA518104,SAMN10852717,2619353038,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316020,J20,GSM3586121,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,D18,GSM3586121,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512386,6,RNA-Seq,250,6023354250,PRJNA518104,SAMN10852716,2713428768,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316021,Wild Type,GSM3586122,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,D19,GSM3586122,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512387,6,RNA-Seq,250,5919446250,PRJNA518104,SAMN10852715,2634426945,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316022,J20,GSM3586123,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,D20,GSM3586123,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512388,10,RNA-Seq,250,6770792750,PRJNA518104,SAMN10852714,3027186910,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316023,Wild Type,GSM3586124,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,D23,GSM3586124,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512389,6,RNA-Seq,250,6010418250,PRJNA518104,SAMN10853165,2691177468,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316024,Wild Type,GSM3586125,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,E17,GSM3586125,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512390,6,RNA-Seq,250,5929513750,PRJNA518104,SAMN10853164,2681097565,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316025,J20,GSM3586126,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,E18,GSM3586126,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512391,8,RNA-Seq,250,4184760000,PRJNA518104,SAMN10853207,1858027953,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316026,Wild Type,GSM3586127,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,E19,GSM3586127,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512392,8,RNA-Seq,250,5743273750,PRJNA518104,SAMN10853206,2568251383,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316027,J20,GSM3586128,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,E20,GSM3586128,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512393,10,RNA-Seq,250,5552974000,PRJNA518104,SAMN10853205,2470475764,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316028,Wild Type,GSM3586129,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,E21,GSM3586129,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512394,10,RNA-Seq,250,6836133250,PRJNA518104,SAMN10853204,3013920862,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316029,J20,GSM3586130,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,E22,GSM3586130,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512395,8,RNA-Seq,250,5544910750,PRJNA518104,SAMN10853203,2539244578,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316030,Wild Type,GSM3586131,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,F17,GSM3586131,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512396,8,RNA-Seq,250,5347820500,PRJNA518104,SAMN10853202,2379142126,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316031,J20,GSM3586132,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,F18,GSM3586132,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512397,10,RNA-Seq,250,5118222250,PRJNA518104,SAMN10853201,2553079460,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316032,Wild Type,GSM3586133,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,F19,GSM3586133,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512398,10,RNA-Seq,250,4917796000,PRJNA518104,SAMN10853200,2210531595,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316033,J20,GSM3586134,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,F20,GSM3586134,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512399,12,RNA-Seq,250,5651493250,PRJNA518104,SAMN10853199,2521930345,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316034,Wild Type,GSM3586135,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,F21,GSM3586135,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512400,12,RNA-Seq,250,5802465250,PRJNA518104,SAMN10853198,2594805722,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316035,J20,GSM3586136,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,F22,GSM3586136,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512401,6,RNA-Seq,250,4923288750,PRJNA518104,SAMN10853197,2206365518,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316036,Wild Type,GSM3586137,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,F23,GSM3586137,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512402,6,RNA-Seq,250,6409981000,PRJNA518104,SAMN10853196,2832239418,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316037,J20,GSM3586138,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,F24,GSM3586138,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512403,10,RNA-Seq,250,6554474750,PRJNA518104,SAMN10853195,2891687213,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316038,Wild Type,GSM3586139,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,G17,GSM3586139,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512404,10,RNA-Seq,250,6287657750,PRJNA518104,SAMN10853194,2767121505,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316039,J20,GSM3586140,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,G18,GSM3586140,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512405,12,RNA-Seq,250,6505009500,PRJNA518104,SAMN10853193,2937231363,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316040,Wild Type,GSM3586141,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,G19,GSM3586141,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512406,12,RNA-Seq,250,5751829500,PRJNA518104,SAMN10853192,2565781393,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316041,J20,GSM3586142,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,G20,GSM3586142,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512407,6,RNA-Seq,250,5360402750,PRJNA518104,SAMN10853191,2370624581,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316042,Wild Type,GSM3586143,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,G21,GSM3586143,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512408,6,RNA-Seq,250,5999334250,PRJNA518104,SAMN10853190,2647422936,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316043,J20,GSM3586144,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,G22,GSM3586144,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512409,8,RNA-Seq,250,5530995000,PRJNA518104,SAMN10853189,2476512221,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316044,Wild Type,GSM3586145,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,G23,GSM3586145,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512410,8,RNA-Seq,250,5701581500,PRJNA518104,SAMN10853188,2636200739,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316045,J20,GSM3586146,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,G24,GSM3586146,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512411,12,RNA-Seq,250,5761178500,PRJNA518104,SAMN10853187,2537550295,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316046,Wild Type,GSM3586147,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,H17,GSM3586147,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512412,12,RNA-Seq,250,5961571750,PRJNA518104,SAMN10853186,2629498052,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316047,J20,GSM3586148,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,H18,GSM3586148,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512413,8,RNA-Seq,250,2423448000,PRJNA518104,SAMN10853185,1685301432,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316048,Wild Type,GSM3586149,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,H21,GSM3586149,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512414,8,RNA-Seq,250,3265223750,PRJNA518104,SAMN10853185,1446357085,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316048,Wild Type,GSM3586149,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,H21,GSM3586149,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512415,8,RNA-Seq,250,5729997250,PRJNA518104,SAMN10853184,2548817694,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316049,J20,GSM3586150,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,H22,GSM3586150,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512416,10,RNA-Seq,250,2392037250,PRJNA518104,SAMN10853183,1669843261,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316050,Wild Type,GSM3586151,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,H23,GSM3586151,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512417,10,RNA-Seq,250,3150273250,PRJNA518104,SAMN10853183,1408608409,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316050,Wild Type,GSM3586151,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,H23,GSM3586151,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512418,10,RNA-Seq,250,3118061500,PRJNA518104,SAMN10853182,1410213031,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316051,J20,GSM3586152,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,H24,GSM3586152,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512419,10,RNA-Seq,250,2026343750,PRJNA518104,SAMN10853182,1440380183,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316051,J20,GSM3586152,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,H24,GSM3586152,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512420,8,RNA-Seq,250,6024001750,PRJNA518104,SAMN10853181,2670503174,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316052,J20,GSM3586153,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,I20,GSM3586153,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512421,8,RNA-Seq,250,6079603500,PRJNA518104,SAMN10853208,2705855740,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316055,Wild Type,GSM3586154,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,J17,GSM3586154,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512422,10,RNA-Seq,250,1905173000,PRJNA518104,SAMN10853147,1373087629,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316056,Wild Type,GSM3586155,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,J19,GSM3586155,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512423,10,RNA-Seq,250,2793953500,PRJNA518104,SAMN10853147,1330051894,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316056,Wild Type,GSM3586155,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,J19,GSM3586155,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512424,10,RNA-Seq,250,2218128250,PRJNA518104,SAMN10853146,991085112,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316057,J20,GSM3586156,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,J20,GSM3586156,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512425,10,RNA-Seq,250,1632322750,PRJNA518104,SAMN10853146,1148426858,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316057,J20,GSM3586156,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,J20,GSM3586156,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512426,12,RNA-Seq,250,1928607000,PRJNA518104,SAMN10853145,1350728938,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316058,Wild Type,GSM3586157,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,J21,GSM3586157,Entorhinal cortex,SRP183070,Entorhinal cortex
SRR8512427,12,RNA-Seq,250,2914301500,PRJNA518104,SAMN10853145,1295141066,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5316058,Wild Type,GSM3586157,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,J20,Mus musculus,ILLUMINA,2020-02-20T00:00:00Z,J21,GSM3586157,Entorhinal cortex,SRP183070,Entorhinal cortex
