"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051170","BP","GO:0051170","import into nucleus","56/3047","159/15222",5.13492336115762e-06,5.13492336115762e-06,0.00120940958111475,"Cdh1/Kpnb1/Jup/Akt1/Smo/Nup214/Ipo4/Tsc2/Tgfb1/Shh/Prkd1/Cse1l/Cd36/Ranbp2/Kpna6/Stat3/Phb2/Rab23/Trim28/Tpr/Tek/Tmco6/Nutf2/Pttg1ip/Tnpo1/Dmap1/Hyal2/Tnpo3/Chp1/Nolc1/Hspa8/Sqstm1/E2f3/Nup50/Pom121l2/Brca1/Med1/Kpna2/Akap1/Rpain/Traf3ip2/Cdk1/Psen1/Appl2/Ppp2ca/Eif4enif1/Xbp1/Nf1/Ddx5/Nup85/Nfkbia/Akap5/Gli3/Nup153/Syk/Drd1",56
"GO:0061614","BP","GO:0061614","pri-miRNA transcription by RNA polymerase II","27/3047","59/15222",6.93019389108795e-06,6.93019389108795e-06,0.00157595879229278,"Ngfr/Pparg/Pdgfb/Sox9/Spi1/Ppard/Tgfb1/Klf4/Stat3/Klf5/Ctcf/Gata6/Tgfbr1/Nfib/Mrtfb/Gata2/Srf/Gata3/Wt1/Hdac2/Srebf1/Ddx5/Hif1a/Fos/Yy1/Prl/Tert",27
"GO:0010634","BP","GO:0010634","positive regulation of epithelial cell migration","53/3047","151/15222",1.01685050562825e-05,1.01685050562825e-05,0.00223528716412666,"Alox12/Pdgfb/Sox9/Sp1/Itga3/Akt1/Rin2/Rac1/Tgfb1/Shh/Prkd1/Calr/Stat5a/Gab2/Aqp1/Hdac9/Rab11a/Hspb1/Hmox1/Tek/Emc10/Fut1/Rab25/Met/Hyal1/Prox1/Amotl1/Gata2/Sash1/Itga2/Gata3/Nfe2l2/Plcg1/Cd40/Mmp9/Pfn1/Adora2b/Sparc/Map2k3/Akt3/Igf1/Sirt1/Flt4/Rtn4/Pik3cg/Rock2/Itgb3/Map3k3/Hif1a/Lgmn/Gpld1/Pdcd6/Plk2",53
"GO:1902893","BP","GO:1902893","regulation of pri-miRNA transcription by RNA polymerase II","26/3047","57/15222",1.09846634302498e-05,1.09846634302498e-05,0.00233680531037402,"Ngfr/Pparg/Pdgfb/Sox9/Spi1/Ppard/Tgfb1/Klf4/Stat3/Klf5/Ctcf/Gata6/Tgfbr1/Nfib/Mrtfb/Gata2/Srf/Gata3/Wt1/Hdac2/Srebf1/Hif1a/Fos/Yy1/Prl/Tert",26
"GO:0015172","MF","GO:0015172","acidic amino acid transmembrane transporter activity","11/3047","15/15222",1.24203060095612e-05,1.24203060095612e-05,0.00252620160275811,"Slc1a5/Slc25a18/Slc1a2/Slc1a6/Slc1a3/Slc1a7/Slc25a13/Slc13a3/Slc25a22/Slc17a8/Slc1a4",11
"GO:0019693","BP","GO:0019693","ribose phosphate metabolic process","97/3047","325/15222",1.29794147212085e-05,1.29794147212085e-05,0.00252620160275811,"Gnai3/Dlat/Gmpr/Atp5pb/Hk2/Il4/Coasy/Gmpr2/Uck1/Tgfb1/Nudt14/Atp5d/Sult2b1/Impdh1/Ier3/Crot/Gcdh/Stat3/Eno2/Rab23/Map2k1/Mlxipl/Insr/Adcy9/Cs/Ampd3/Atp5g1/Cbfa2t3/Epha2/Actn3/Pdk1/Mvd/Prkag3/Slc4a1/Aprt/Bcl2l1/Rhoa/Tafazzin/Pdhx/Adssl1/Pgam1/Git1/Cad/Dguok/Slc25a13/Prpsap1/Adss/Atp5e/Acot8/Aldoc/Cacnb4/Pipox/Ada/Ncor1/Atp5g3/Acsl1/Pank3/Pdk4/Psen1/Nudt4/Igf1/Hkdc1/Ddit4/Dip2a/Hint1/Pfkl/Acsl6/Upp1/Adcy1/Guk1/Ogdh/Pgam2/Prpsap2/Acaca/Nt5c1b/Adcy3/Dld/Nt5c/Galk1/Nme2/Gucy2e/Pfas/Acly/Dcakd/Pygl/Hif1a/Pfkp/Acot2/Acot3/Entpd5/Esrrb/Prxl2c/Adcy2/Acot12/Mccc2/Hmgcr/Pde4d",97
"GO:0001701","BP","GO:0001701","in utero embryonic development","134/3047","479/15222",1.33399486618496e-05,1.33399486618496e-05,0.00252620160275811,"Gna12/Pemt/Cdh1/Ccm2/Pdgfb/Acvrl1/Acvr1b/Dnmt3l/Rpl13/Rpa1/Txnrd3/Smarcb1/Chtop/Epn2/B9d1/Pcnt/Ocrl/Sp1/Fkbp10/Akt1/Smo/Rtcb/Supt6/Psmc3/Smg9/Jag2/Klf4/Elf3/Keap1/Prkcsh/St8sia6/Dll3/Emg1/Spic/Cul3/Plod3/Apba3/Map2k1/Zp3/Asf1b/Trim28/Adcy9/Ctr9/Gata6/Smpd4/Rcn1/Inpp5k/Ihh/Ctnnb1/Tgfbr1/Bcl2l1/Zmiz1/Gabpa/Bmp7/Ascl2/Mrtfb/Wnt3a/Plcd1/Phlda2/Wnt2/Exoc3l2/Bnip2/Ndufa2/Dll1/Gata2/Endog/Egfl8/Arnt/Srf/Gata3/Setdb1/Arnt2/Rxra/Ube2a/Cr1l/Plcg1/Ada/Rrp7a/Med1/Mfng/Stk4/Srsf1/Kif3a/Wnt9b/Pcgf2/Tbx3/Sp2/Ndel1/Csf2/H13/Cops3/Xab2/Hey2/Rspo3/Myb/Igf1/Egfr/Cnot2/E2f7/Mgat1/Ube2b/Rtn4/Ggnbp2/Apob/Gna13/Ncoa1/Rrm2/Hnf1b/Nle1/Polg2/Unk/Llgl2/Nxn/Myh10/Krt19/Kat2a/Nmt1/Plcd3/Dnaaf2/Hif1a/Zfp36l1/Ppp4r4/Tshz3/Tgfb3/Esrrb/Vash1/Ccnk/Gli3/Edn1/Ptch1/Nsun2/Xrcc4/Btf3/Cert1",134
"GO:0006913","BP","GO:0006913","nucleocytoplasmic transport","87/3047","285/15222",1.39513414855955e-05,1.39513414855955e-05,0.00252620160275811,"Xpo6/Cdh1/Chtop/Mcm3ap/Kpnb1/Jup/Akt1/Smo/Nup214/Emd/Supt6/Ipo4/Ranbp3/Tsc2/Tgfb1/Akap8l/Shh/Prkd1/Cse1l/Cd36/Ranbp2/Ier3/Kpna6/Calr/Stat3/Phb2/Ppp1cc/Rab23/Hnrnpa2b1/Prkaca/Ddx39a/Trim28/Tpr/Tek/Tmco6/Phax/Nutf2/Pttg1ip/Tnpo1/Dmap1/Nxf2/Hyal2/Nxf1/Tnpo3/Chp1/Ddx19a/Nolc1/Hspa8/Sqstm1/E2f3/Nup50/Pom121l2/Brca1/Mlx/Med1/Kpna2/Akap1/Rpain/Nop9/Ddx39b/Gle1/Ltv1/Traf3ip2/Ppp1r12a/Cdk1/Psen1/Mdm2/Appl2/Xpo1/Ppp2ca/Eif4enif1/Xbp1/Dnajc27/Nf1/Ddx5/Nup85/Ywhae/Nemf/Nfkbia/Akap5/Ppm1a/Nrde2/Gli3/Nup153/Syk/Drd1/Nsun2",87
"GO:0051169","BP","GO:0051169","nuclear transport","87/3047","285/15222",1.39513414855955e-05,1.39513414855955e-05,0.00252620160275811,"Xpo6/Cdh1/Chtop/Mcm3ap/Kpnb1/Jup/Akt1/Smo/Nup214/Emd/Supt6/Ipo4/Ranbp3/Tsc2/Tgfb1/Akap8l/Shh/Prkd1/Cse1l/Cd36/Ranbp2/Ier3/Kpna6/Calr/Stat3/Phb2/Ppp1cc/Rab23/Hnrnpa2b1/Prkaca/Ddx39a/Trim28/Tpr/Tek/Tmco6/Phax/Nutf2/Pttg1ip/Tnpo1/Dmap1/Nxf2/Hyal2/Nxf1/Tnpo3/Chp1/Ddx19a/Nolc1/Hspa8/Sqstm1/E2f3/Nup50/Pom121l2/Brca1/Mlx/Med1/Kpna2/Akap1/Rpain/Nop9/Ddx39b/Gle1/Ltv1/Traf3ip2/Ppp1r12a/Cdk1/Psen1/Mdm2/Appl2/Xpo1/Ppp2ca/Eif4enif1/Xbp1/Dnajc27/Nf1/Ddx5/Nup85/Ywhae/Nemf/Nfkbia/Akap5/Ppm1a/Nrde2/Gli3/Nup153/Syk/Drd1/Nsun2",87
"GO:0098656","BP","GO:0098656","anion transmembrane transport","60/3047","179/15222",1.4173341793607e-05,1.4173341793607e-05,0.00252620160275811,"Glra1/Slc5a5/Slc13a2/Gabrg1/Slc19a1/Folr1/Slc1a5/Slc25a42/Slc25a1/Clcn3/Slc25a18/Slc1a2/Slc1a6/Slc1a3/Slc5a6/Slc44a4/Lrrc8a/Gabrb2/Slc1a7/Slc16a12/Slc3a2/Slc47a1/Gabra1/Slc25a41/Slc25a11/Slc25a13/Cltrn/Ace2/Slc25a5/Slc35c2/Slc12a5/Slc12a7/Slc12a4/Slc13a3/Glra2/Glra4/Tcaf3/Slc35b4/Slc25a22/Slc6a8/Grm1/Gopc/Slc17a8/Psen1/Slc16a7/Slc1a4/Slc36a2/Vdac1/Gabra6/Gabrg2/Slc25a19/Slc13a5/Slc46a1/Abcc3/Slc35b1/Gfap/Slc25a29/Ripk1/Sfxn1/Slc34a1",60
"GO:0048662","BP","GO:0048662","negative regulation of smooth muscle cell proliferation","26/3047","58/15222",1.61407172908056e-05,1.61407172908056e-05,0.00280115218357055,"Gna12/Pparg/Cnn1/Ppard/Apoe/Cdkn1b/Klf4/Il12b/Ndrg2/Hmox1/Mef2c/Sod2/Cav1/Rhoa/Vipr2/Pten/Ace2/Esr1/Vip/Tnfaip3/Igfbp3/Myocd/Gna13/Esr2/Tgfb3/Ogn",26
"GO:0033218","MF","GO:0033218","amide binding","99/3047","335/15222",1.66599084765643e-05,1.66599084765643e-05,0.0028171208260641,"Ngfr/Itgb2/Pparg/Oprm1/Ftcd/Ramp2/Pfdn5/Slc19a1/Kpnb1/Npepps/Fkbp10/Folh1/Folr1/Nup214/Gria3/Ipo4/Plekha3/Gnmt/Kdelr1/Epdr1/Cd36/Apoe/Ebi3/Pex19/Crhr2/Kpna6/Gcdh/Calr/Gstm5/Gstm7/Gstm3/Psap/Phb2/Lbr/Thop1/Apba3/Pex5/Plekha8/Prlr/Igf1r/Insr/Tomm40l/Crip1/Pfdn2/Ctsd/Mgst1/Tnpo1/Srp14/Sardh/Kdelr3/Vipr2/Gltp/Clip3/Nolc1/Ager/Itga2/Hspa8/Rxra/Fnta/Lbp/H2-M3/H2-M2/Pom121l2/Pltp/Pitpna/Kpna2/Acadvl/Crhr1/Pank3/Plod1/Pex7/Npffr1/Avpr1a/Ltc4s/Vdac1/Rps6kb1/Gria1/Acaca/Fkbp1b/Dld/Srp68/P2rx1/Galr2/Slc46a1/Timm22/Nfkbia/Tomm20l/Mtr/Ryr2/Nup153/Eci3/Eci2/Ctsl/Erap1/Srd5a1/Acot12/Cert1/Crhbp/Dhfr",99
"GO:0009150","BP","GO:0009150","purine ribonucleotide metabolic process","90/3047","299/15222",1.83402442032307e-05,1.83402442032307e-05,0.00302372710350633,"Gnai3/Dlat/Gmpr/Atp5pb/Hk2/Il4/Coasy/Gmpr2/Tgfb1/Atp5d/Sult2b1/Impdh1/Ier3/Crot/Gcdh/Stat3/Eno2/Rab23/Map2k1/Mlxipl/Insr/Adcy9/Cs/Ampd3/Atp5g1/Cbfa2t3/Epha2/Actn3/Pdk1/Mvd/Prkag3/Slc4a1/Aprt/Bcl2l1/Rhoa/Tafazzin/Pdhx/Adssl1/Pgam1/Git1/Dguok/Slc25a13/Adss/Atp5e/Acot8/Aldoc/Cacnb4/Pipox/Ada/Ncor1/Atp5g3/Acsl1/Pank3/Pdk4/Psen1/Nudt4/Igf1/Hkdc1/Ddit4/Dip2a/Hint1/Pfkl/Acsl6/Adcy1/Guk1/Ogdh/Pgam2/Acaca/Nt5c1b/Adcy3/Dld/Nt5c/Galk1/Nme2/Gucy2e/Pfas/Acly/Dcakd/Hif1a/Pfkp/Acot2/Acot3/Entpd5/Esrrb/Prxl2c/Adcy2/Acot12/Mccc2/Hmgcr/Pde4d",90
"GO:0043535","BP","GO:0043535","regulation of blood vessel endothelial cell migration","35/3047","89/15222",2.10375442756616e-05,2.10375442756616e-05,0.00336498386604993,"Alox12/Pparg/Pdgfb/Acvrl1/Sp1/Jup/Akt1/Tgfb1/Prkd1/Apoe/Klf4/Stat5a/Hdac9/Hspb1/Hmox1/Mef2c/Epha2/Rhoa/Hdac5/Amotl1/Gata2/Nfe2l2/Stard13/Plcg1/Cd40/Map2k3/Akt3/Nr2e1/Igf1/Sirt1/Map3k3/Nf1/Hif1a/Vash1/Plk2",35
"GO:0072521","BP","GO:0072521","purine-containing compound metabolic process","100/3047","341/15222",2.14306235044521e-05,2.14306235044521e-05,0.00336498386604993,"Gnai3/Dlat/Gmpr/Pemt/Atp5pb/Hk2/Il4/Coasy/Gmpr2/Tgfb1/Gnmt/Atp5d/Sult2b1/Impdh1/Ier3/Crot/Gcdh/Stat3/Eno2/Rab23/Map2k1/Mlxipl/Insr/Adcy9/Cs/Ampd3/Atp5g1/Cbfa2t3/Epha2/Actn3/Pdk1/Mvd/Prkag3/Slc4a1/Aprt/Bcl2l1/Rhoa/Tafazzin/Pdhx/Adssl1/Pgam1/Git1/Dguok/Slc25a13/Prpsap1/Adss/Atp5e/Acot8/Aldoc/Cacnb4/Pipox/Ada/Adora2b/Ncor1/Atp5g3/Acsl1/Pank3/Pdk4/Pcmt1/Psen1/Nudt4/Igf1/Hkdc1/Ddit4/Gamt/Dip2a/Hint1/Pfkl/Acsl6/Adcy1/Guk1/Ogdh/Pgam2/Prpsap2/Acaca/Shmt1/Nt5c1b/Adcy3/Dld/Nt5c/Galk1/Nos2/Nme2/Gucy2e/Pfas/Acly/Dcakd/Mthfd1/Hif1a/Pfkp/Acot2/Acot3/Entpd5/Esrrb/Prxl2c/Adcy2/Acot12/Mccc2/Hmgcr/Pde4d",100
"GO:0007568","BP","GO:0007568","aging","63/3047","193/15222",2.24229652675917e-05,2.24229652675917e-05,0.00343891988742869,"Tbx2/Gna12/Mnt/Foxm1/Eef1e1/Akt1/Bbc3/Spi1/Tsc2/Apoe/Bcl2l12/Eif2b5/Ercc1/Calr/Dnaja3/Atn1/Hdac9/Map2k1/Slc1a2/Msh6/Rsl1d1/Cyp27b1/Sod2/Cav1/Zmiz1/Hyal2/Pten/Pax5/Ager/Srf/Aldoc/Mmp9/Pmp22/Abi3/Tbx3/Cd68/Akt3/Fbxo5/Rwdd1/Sec63/Cdk1/Psen1/Nuak1/Sirt1/Avpr1a/Fzr1/Zfp354a/Pnpt1/Nampt/Smc6/Gna13/Id2/Ccl11/Map3k3/Ctc1/Eif2s1/Arg2/Vash1/Edn1/Ndufs6/Tert/Pde4d/Plk2",63
"GO:0031256","CC","GO:0031256","leading edge membrane","51/3047","148/15222",2.6269334520294e-05,2.6269334520294e-05,0.00385285003366787,"Ngfr/Itga5/Oprm1/Hip1r/Gabrg1/Rac1/Aif1l/Adgre5/Akt2/Sgce/Cd44/Slc1a2/Insr/Apc/Inpp5k/Eps8l1/Arpc2/Epha2/Cdc42/Rhoa/Gabra1/Trpv4/Map2/Plekho1/Eps8/Cacna1d/Plcg1/Mpp2/Slc12a5/Myo1c/Mapt/Wwc1/Cdc37/Ptprk/Atp2b1/Plek/Egfr/Apc2/Adora2a/Appl2/Sptbn1/Hcn2/Gabra6/Gabrg2/Myo1g/Gria1/Sh3yl1/Itgb3/Akap5/Hsp90aa1/Amph",51
"GO:0006163","BP","GO:0006163","purine nucleotide metabolic process","95/3047","322/15222",2.62903972768238e-05,2.62903972768238e-05,0.00385285003366787,"Gnai3/Dlat/Gmpr/Atp5pb/Hk2/Il4/Coasy/Gmpr2/Tgfb1/Atp5d/Sult2b1/Impdh1/Ier3/Crot/Gcdh/Stat3/Eno2/Rab23/Map2k1/Mlxipl/Insr/Adcy9/Cs/Ampd3/Atp5g1/Cbfa2t3/Epha2/Actn3/Pdk1/Mvd/Prkag3/Slc4a1/Aprt/Bcl2l1/Rhoa/Tafazzin/Pdhx/Adssl1/Pgam1/Git1/Dguok/Slc25a13/Prpsap1/Adss/Atp5e/Acot8/Aldoc/Cacnb4/Pipox/Ada/Adora2b/Ncor1/Atp5g3/Acsl1/Pank3/Pdk4/Psen1/Nudt4/Igf1/Hkdc1/Ddit4/Dip2a/Hint1/Pfkl/Acsl6/Adcy1/Guk1/Ogdh/Pgam2/Prpsap2/Acaca/Nt5c1b/Adcy3/Dld/Nt5c/Galk1/Nos2/Nme2/Gucy2e/Pfas/Acly/Dcakd/Mthfd1/Hif1a/Pfkp/Acot2/Acot3/Entpd5/Esrrb/Prxl2c/Adcy2/Acot12/Mccc2/Hmgcr/Pde4d",95
"GO:0000302","BP","GO:0000302","response to reactive oxygen species","57/3047","171/15222",2.75442432003336e-05,2.75442432003336e-05,0.00387287042716015,"Fer/Lck/Mapk7/Akr1b3/Akt1/Fbxo7/Stat6/Axl/Cd36/Nqo1/Psap/Pax2/Aqp1/Mapk13/Prdx2/Hmox1/Trap1/Epor/Slc4a1/Sod2/Trpm2/Mpo/Met/Ppp2cb/Aldh3a2/Hyal2/Hyal1/Rnf112/Nol3/Endog/Nfe2l2/Mmp9/Crk/Glrx2/Kdm6b/Pcgf2/Mb/Hdac2/Fyn/Tnfaip3/Ptprk/Sirt1/Egfr/Mapk9/Rack1/Pld2/Ngb/Hif1a/Fbln5/Net1/Fos/Edn1/Ripk1/Fancc/Ercc6l2/Glrx/Dhfr",57
"GO:0045058","BP","GO:0045058","T cell selection","24/3047","53/15222",2.76015426293218e-05,2.76015426293218e-05,0.00387287042716015,"Loxl3/Aire/Il4/Tbx21/Cd3g/Foxn1/Stat6/Braf/Tgfb1/Shh/Jag2/Stk11/Stat3/Ly9/Rhoa/Slamf6/Srf/Gata3/Dock2/Mink1/Gli3/Irf4/Syk/Ctsl",24
"GO:0010743","BP","GO:0010743","regulation of macrophage derived foam cell differentiation","13/3047","21/15222",3.23088351372982e-05,3.23088351372982e-05,0.00443892219594678,"Pparg/Cd36/Hbp1/Csf1/Lpl/Abca5/Csf2/Mapk9/Apob/Itgb3/Alox8/Nfkbia/Prkch",13
"GO:0045927","BP","GO:0045927","positive regulation of growth","84/3047","279/15222",3.40106040442331e-05,3.40106040442331e-05,0.00457736701046446,"Tbx2/Wnt3/Brat1/Cdh4/Ddx3x/Bcl11a/Mmp14/Hpn/Rnd2/Akt1/Smo/Ppard/Hdgfl2/Apoe/Stat5a/Rab11a/Eif2b2/Crabp2/Zp3/Pex5/Ccn4/Celf1/Igf1r/Insr/Mef2c/Eif4g2/Gata6/Atp5g1/Actn3/Cyba/Cdc42/Slc44a4/Tgfbr1/Rhoa/Myod1/Wnt3a/Hyal1/Cacna2d2/Prox1/Wnt2/Sptbn4/Csf1/Dll1/Gdi1/Srf/Wt1/H3f3b/Crk/Tbx5/Mapt/Derl2/Trpv2/Ikzf1/Ndel1/Zfyve27/Cxcl16/Ahr/Ddx39b/Trip10/Hey2/Cdk1/Sgk1/Ahi1/Igf1/Sirt1/Supv3l1/Egfr/Avpr1a/Flt4/Rtn4/Dbnl/Rps6kb1/Agr2/Itsn2/Gh/Pafah1b1/Ntn1/Stat5b/Tshr/Edn1/Sema4d/Cdk20/Hnrnpk/Slc6a3",84
"GO:0009259","BP","GO:0009259","ribonucleotide metabolic process","93/3047","316/15222",3.5299474044704e-05,3.5299474044704e-05,0.00465581483979096,"Gnai3/Dlat/Gmpr/Atp5pb/Hk2/Il4/Coasy/Gmpr2/Uck1/Tgfb1/Atp5d/Sult2b1/Impdh1/Ier3/Crot/Gcdh/Stat3/Eno2/Rab23/Map2k1/Mlxipl/Insr/Adcy9/Cs/Ampd3/Atp5g1/Cbfa2t3/Epha2/Actn3/Pdk1/Mvd/Prkag3/Slc4a1/Aprt/Bcl2l1/Rhoa/Tafazzin/Pdhx/Adssl1/Pgam1/Git1/Cad/Dguok/Slc25a13/Adss/Atp5e/Acot8/Aldoc/Cacnb4/Pipox/Ada/Ncor1/Atp5g3/Acsl1/Pank3/Pdk4/Psen1/Nudt4/Igf1/Hkdc1/Ddit4/Dip2a/Hint1/Pfkl/Acsl6/Upp1/Adcy1/Guk1/Ogdh/Pgam2/Acaca/Nt5c1b/Adcy3/Dld/Nt5c/Galk1/Nme2/Gucy2e/Pfas/Acly/Dcakd/Hif1a/Pfkp/Acot2/Acot3/Entpd5/Esrrb/Prxl2c/Adcy2/Acot12/Mccc2/Hmgcr/Pde4d",93
"GO:0015807","BP","GO:0015807","L-amino acid transport","24/3047","54/15222",4.03134472052536e-05,4.03134472052536e-05,0.00521287402974022,"Slc1a5/Slc25a18/Slc1a2/Slc1a6/Slc1a3/Ctns/Slc1a7/Slc38a3/Slc3a2/Slc47a1/Slc25a13/Cltrn/Ace2/Slc25a22/Grm1/Slc17a8/Psen1/Arg1/Slc1a4/Slc36a1/Slc36a2/Arg2/Slc25a29/Sfxn1",24
"GO:0034614","BP","GO:0034614","cellular response to reactive oxygen species","44/3047","125/15222",5.13348105407042e-05,5.13348105407042e-05,0.00630148309110707,"Fer/Mapk7/Akr1b3/Akt1/Fbxo7/Stat6/Axl/Cd36/Nqo1/Psap/Pax2/Aqp1/Mapk13/Prdx2/Trap1/Epor/Sod2/Trpm2/Mpo/Met/Rnf112/Nol3/Endog/Nfe2l2/Mmp9/Kdm6b/Pcgf2/Hdac2/Tnfaip3/Ptprk/Sirt1/Egfr/Mapk9/Rack1/Ngb/Fbln5/Net1/Fos/Edn1/Ripk1/Fancc/Ercc6l2/Glrx/Dhfr",44
"GO:0043177","MF","GO:0043177","organic acid binding","44/3047","125/15222",5.13348105407042e-05,5.13348105407042e-05,0.00630148309110707,"Th/Glra1/Dbt/Pparg/Dbh/Ftcd/Srr/Slc19a1/Folr1/Ppard/Gnmt/Grin2d/Cd36/Prodh/Plod3/Crabp2/Slc1a3/Insr/P4htm/Ddah2/Id3/Sardh/Cad/Rxra/Pitpna/Glra2/Glra4/Rars/P4ha2/Tm4sf5/Plod1/P4ha1/Pah/Ddc/Hbq1a/Castor1/Acaca/Shmt1/P2rx1/Nos2/Slc46a1/Mtr/Ryr2/Dhfr",44
"GO:1904705","BP","GO:1904705","regulation of vascular associated smooth muscle cell proliferation","25/3047","58/15222",5.25542683975011e-05,5.25542683975011e-05,0.00630148309110707,"Gnai3/Gna12/Pparg/Pdgfb/Cnn1/Mef2d/Cdkn1b/Foxj2/Dnmt1/Hmox1/Mef2c/Sod2/Rhoa/Pten/Mmp9/Ddx39b/Igf1/Frs2/Mdm2/Myocd/Gna13/Ern1/Tgfb3/Edn1/Tert",25
"GO:1990874","BP","GO:1990874","vascular associated smooth muscle cell proliferation","25/3047","58/15222",5.25542683975011e-05,5.25542683975011e-05,0.00630148309110707,"Gnai3/Gna12/Pparg/Pdgfb/Cnn1/Mef2d/Cdkn1b/Foxj2/Dnmt1/Hmox1/Mef2c/Sod2/Rhoa/Pten/Mmp9/Ddx39b/Igf1/Frs2/Mdm2/Myocd/Gna13/Ern1/Tgfb3/Edn1/Tert",25
"GO:1903131","BP","GO:1903131","mononuclear cell differentiation","111/3047","395/15222",5.83955873842253e-05,5.83955873842253e-05,0.00687684877748443,"Lck/Pparg/Loxl3/Aire/Tcf7/Bcl11a/Il4/Mmp14/Lgals9/Tbx21/Itfg2/Tcirg1/Fbxo7/Cd3g/Foxn1/Spi1/Stat6/Gmpr2/Braf/Axl/Tgfb1/Shh/Kdelr1/Jag2/Clptm1/Relb/Stk11/Cd79a/Bax/Il7r/Stat3/Stat5a/Dnaja3/Psap/Ptpn6/Il12b/Hdac9/Ly9/Hspb1/Cd44/Prdx2/Mef2c/Kit/Apc/Ihh/Pknox1/Ctnnb1/Rhoa/Zmiz1/Spib/Pou2f2/Ncaph2/Hdac5/Trpm2/Tusc2/St3gal1/Mertk/Csf1/Dll1/Dnajb9/Hmgb3/Slamf6/Slamf1/Cd83/Ager/Srf/Gata3/Slc25a5/Nkap/Cd46/Ada/Med1/Ikzf3/Mfng/Ncor1/Ikzf1/Irf1/Csf2/Ahr/Traf3ip2/Tnfaip3/Psen1/Myb/Vsir/Dock2/Tcf3/Ap3d1/Itk/Patz1/Polm/Xbp1/Hs1bp3/Rsad2/Id2/Mink1/Kat2a/Stat5b/Tshr/Ppp2r3c/Zfp36l1/Yy1/Hsp90aa1/Gli3/Irf4/Gadd45g/Syk/Ctsl/Prelid1/Xrcc4/F2rl1/Ap3b1",111
"GO:0001655","BP","GO:0001655","urogenital system development","97/3047","337/15222",6.26841005382711e-05,6.26841005382711e-05,0.00725237100410468,"Pdgfb/Wdr77/Sox9/Serpinf1/Ift20/Pcnt/Rarg/Efnb2/Irx2/Itga3/Akr1b3/Smo/Tgfb1/Shh/Pspn/Cdkn1b/Stk11/Plag1/Bax/Stat5a/Psap/Pax2/Aqp1/Pgf/Cd44/Prlr/Nid1/Igf1r/Mef2c/Apc/Ephb3/Crkl/Tek/Qrich1/Sulf2/Ctnnb1/Tgfbr1/Rhoa/Id3/Crlf1/Hdac5/Bmp7/Ap1b1/Slc5a1/Odc1/Aldh1a2/Pten/Klhl3/Glis2/Bicc1/Dll1/Gata2/Gata3/Lama5/Aph1a/Rxra/Wnt11/Wt1/Ift27/Sulf1/Rarb/Mmp9/Kif3a/Wnt9b/Lhx1/Ahr/Esr1/Traf3ip2/Sim1/Arid5b/Cep290/Ahi1/Igf1/Sgpl1/Lgr5/Frs2/Wdpcp/Myocd/Id2/Hnf1b/Ace/Itgb3/Nle1/Nf1/Nup85/Ttc8/Esr2/Arg2/Tshz3/Gli3/Tfap2a/Id4/Ptch1/Smad5/Ndufs6/Vcan/Ptcd2",97
"GO:0048562","BP","GO:0048562","embryonic organ morphogenesis","81/3047","272/15222",7.06169641556419e-05,7.06169641556419e-05,0.00802931543439377,"Tbx2/Wnt9a/Th/Sox9/Tcf7/Mmp14/Sec24b/Hpn/Sp1/Rarg/Tulp3/Naglu/Smo/Folr1/Rac1/Shh/Prkra/Dvl3/Insig2/Pax2/Mef2c/Otx1/Epha2/Ihh/Ctnnb1/Tgfbr1/Twist2/Tcap/Arid1a/Fzd3/Hipk1/Bmp7/Tbx1/Kcnq1/Bcr/Wnt3a/Hyal1/Prox1/Eya4/Fuz/Cdh23/Aldh1a2/Pax5/Cluap1/Alx3/Dll1/Gata2/Aldh1a3/Srf/Gata3/Wnt11/Celsr1/Rarb/Abr/Ift52/Kif3a/Wnt9b/Pcgf2/Tbx3/Lhx1/Psen1/Ahi1/Lrig3/Frs2/Wdpcp/Id2/Hnf1b/Slc9a3r1/Dvl2/Ntn1/Ccdc103/Foxg1/Tshr/Hif1a/Asb2/Tgfb3/Ryr2/Gli3/Tfap2a/Edn1/Ror2",81
